place,year,mass_g,longitude,latitude,fell_found
SJ 021,2008,174,-69.8735,-25.441667,Found
SaU 011,1999,174,57.2885,21.00333,Found
DaG 219,1996,174,16.38217,27.25733,Found
Dho 1191,2003,174,54.74667,19.34,Found
JaH 752,,174,56.44056,19.82361,Found
EET 90350,1990,174,156.33185,-76.29038,Found
DaG 423,1998,174,15.93683,27.74017,Found
SaU 031,2000,174,57.2765,21.051,Found
HaH 268,2000,174,12.8705,28.45717,Found
Dho 081,1999,174,54.78267,19.322,Found
Acfer 217,1991,174,3.88583,27.59444,Found
QUE 93047,1993,173.9,162.58899,-84.58294,Found
Sleeper Camp 017,1994,173.8,126.25783,-30.01283,Found
Sleeper Camp 016,1994,173.8,126.27283,-30.03183,Found
Y-791976,1979,173.77,35.66667,-71.5,Found
QUE 99099,1999,173.6,168,-84,Found
A-881375,1988,173.54,26,-72,Found
QUE 99085,1999,173.5,168,-84,Found
A-881346,1988,173.32,26,-72,Found
Y-74442,1974,173.3,35.76111,-71.73056,Found
Shiï¿½ï¿½r 170,2009,173.2,53.59686,18.36442,Found
Shiï¿½ï¿½r 172,2009,173.2,53.59686,18.36442,Found
A-881622,1988,173.18,26,-72,Found
Y-791034,1979,173.18,35.66667,-71.5,Found
Acfer 340,2002,173.15,4.3,27.58333,Found
RC 012,1981,173.1,-103.48333,34.1,Found
QUE 97575,1997,173.1,168,-84,Found
Acfer 086,1990,173,4.18333,27.66667,Found
Dho 534,2001,173,54.70333,19.19667,Found
MET 01063,2001,173,159.75,-79.68333,Found
DaG 373,1997,173,15.96183,27.91483,Found
DaG 102,1996,173,16.0235,27.1205,Found
Dho 175,2000,173,54.55222,19.0625,Found
KG 009,2011,173,9.86542,32.76277,Found
DaG 1025,1999,173,16.6865,26.90633,Found
Dho 1127,2005,173,54.908417,19.200667,Found
Nilpena,1975,173,138.3,-31.08333,Found
JaH 516,2008,172.8,55.11403,19.41078,Found
MET 96520,1996,172.8,159.75,-79.68333,Found
A-881014,1988,172.76,26,-72,Found
EET 99413,1999,172.7,157.16667,-76.18333,Found
JaH 413,2007,172.6,56.57698,19.82992,Found
GRV 051627,2006,172.52,75.31694,-72.77889,Found
ALHA78108,1978,172.5,159.66667,-76.71667,Found
JOH 03012,2003,172.5,161.08053,-72.89642,Found
RaS 368,2010,172.47,55.83568,20.51017,Found
Y-791705,1979,172.47,35.66667,-71.5,Found
LAP 02412,2002,172.38,-70,-86.36667,Found
A-87318,1987,172.2,26,-72,Found
Dho 527,2001,172,54.135,18.27667,Found
Dho 1699,2010,172,54.68008,18.94895,Found
JaH 720,,172,55.68361,19.68611,Found
DaG 499,1997,172,16.28733,27.33417,Found
DaG 233,1997,172,16.21317,27.16533,Found
Hughes 025,1991,172,129.46717,-30.70117,Found
Menindee Lakes 003,1969,172,141.88333,-32.91667,Found
META78005,1978,172,155.75,-79.68333,Found
DaG 185,1996,172,16.0945,27.1485,Found
GRA 98051,1998,171.9,-141.5,-86.71667,Found
RaS 321,2009,171.9,55.42098,20.88473,Found
LEW 97212,1997,171.9,161.5,-84.26667,Found
A-881988,1988,171.9,26,-72,Found
Y-792797,1979,171.62,35.66667,-71.5,Found
GRV 020069,2003,171.5,75.20778,-72.99556,Found
GRV 022114,2003,171.43,75.31056,-72.77917,Found
A-881854,1988,171.3,26,-72,Found
A-882109,1988,171.03,26,-72,Found
Mundrabilla 005,1977,171,127.51667,-30.475,Found
DaG 139,1996,171,16.208,27.1575,Found
DaG 646,1998,171,16.66933,26.90833,Found
NWA 461,2001,171,-12.8335,26.784,Found
DaG 336,1997,171,16.20767,27.19367,Found
Acfer 140,1990,171,4.08333,27.56667,Found
Acfer 131,1990,171,3.96667,27.58333,Found
SJ 058,2010,171,-69.8815,-25.44933,Found
DaG 417,1998,171,15.9125,27.50233,Found
Y-791719,1979,170.69,35.66667,-71.5,Found
JaH 089,2002,170.69,56.42808,19.93903,Found
West Forrest,1971,170.6,127.98333,-30.75,Found
Nurina 002,1977,170.5,126.6,-30.45,Found
EET 87756,1987,170.5,156.50264,-76.27559,Found
A-881651,1988,170.48,26,-72,Found
A-881924,1988,170.4,26,-72,Found
Atlantic Ocean,1809,170,-70.41667,30.83333,Found
DaG 933,2000,170,16.06667,27.08333,Found
Bluewing 031,1999,170,-118.93333,40.26667,Found
DaG 490,1997,170,16.35017,27.1885,Found
Dho 1045,2000,170,54.6138,18.81953,Found
Tnz 047,1992,170,0.40167,25.45306,Found
Dho 838,2002,170,54.76333,19.32833,Found
GRO 95550,1995,170,175,-85.66667,Found
Dho 947,2002,170,54.235,18.35333,Found
HaH 098,1995,170,13.40067,28.62617,Found
UAE 020,2009,170,55.18439,22.88811,Found
DaG 492,1997,170,16.12683,27.15133,Found
EET 83371,1983,169.9,157.19639,-76.28306,Found
LEW 87169,1987,169.8,161.22536,-84.36976,Found
EET 87603,1987,169.8,156.46121,-76.27052,Found
GRO 95556,1995,169.8,175,-85.66667,Found
JaH 599,2009,169.7,55.68265,19.7965,Found
GRV 022027,2003,169.65,75.29833,-72.78306,Found
LEW 85329,1985,169.6,161.08333,-84.28333,Found
EET 99423,1999,169.5,157.16667,-76.18333,Found
LAP 02339,2002,169.39,-70,-86.36667,Found
A-87323,1987,169.33,26,-72,Found
Mulga (west),1971,169.2,126.36667,-30.18333,Found
QUE 90231,1990,169.2,162.68497,-84.58079,Found
SaU 044,2000,169.1,57.27194,21.06083,Found
DaG 1041,1998,169,16.055,27.08333,Found
Acfer 310,1992,169,4.25306,27.68361,Found
Acfer 314,1992,169,4.09806,27.66389,Found
Dho 434,2001,169,54.41242,18.74653,Found
JaH 781,,169,56.43361,19.7975,Found
MET 01046,2001,169,159.75,-79.68333,Found
EET 83372,1983,168.9,157.18472,-76.27472,Found
LAP 02332,2002,168.8,-70,-86.36667,Found
MET 01034,2001,168.7,159.75,-79.68333,Found
Y-792763,1979,168.69,35.66667,-71.5,Found
Y-82096,1982,168.51,35.66667,-71.5,Found
SaU 294,2004,168.5,56.965,21.04395,Found
ALH 84148,1984,168.4,158.71588,-76.72522,Found
A-880128,1988,168.33,26,-72,Found
QUE 90239,1990,168.2,162.71511,-84.5903,Found
A-87196,1987,168.06,26,-72,Found
SaU 131,2004,168,57.27,21.07,Found
Dho 1675,2004,168,54.02947,18.259,Found
SJ 055,2010,168,-69.8635,-25.43933,Found
HaH 137,1995,168,12.66367,29.00933,Found
HaH 311,2000,168,13.44517,29.2355,Found
ALH 85041,1985,168,159.38484,-76.70547,Found
SJ 059,2010,168,-69.88033,-25.449,Found
DaG 655,1999,168,16.18333,27.11667,Found
Dho 1720,2010,168,54.82375,19.12132,Found
LAP 02373,2002,167.97,-70,-86.36667,Found
Hoima,2003,167.7,31.47278,1.345,Fell
DaG 564,1997,167.69,16.5515,26.89517,Found
RaS 249,2005,167.67,56.38473,20.00237,Found
ALHA80110,1980,167.6,159.28167,-76.77333,Found
QUE 97811,1997,167.6,168,-84,Found
MAC 87300,1987,167.5,160.5,-84.21667,Found
GRO 95565,1995,167.5,175,-85.66667,Found
SaU 451,2006,167.41,57.35065,20.79325,Found
A-881429,1988,167.35,26,-72,Found
ALH 85062,1985,167.3,156.20617,-76.84511,Found
QUE 94500,1994,167.3,168,-84,Found
Cross Roads,1892,167,-78.13333,35.63333,Fell
EET 83305,1983,167,157.22528,-76.28722,Found
Acfer 320,1992,167,3.88806,27.46056,Found
Dho 654,2001,167,54.81638,19.1071,Found
PCA 91134,1991,167,-68.98431,-85.67037,Found
DaG 394,1997,167,16.20417,27.409,Found
SaU 028,2000,167,57.2245,21.06567,Found
Aguemour 014,1993,167,4.3225,27.57806,Found
DaG 039,1995,167,16.35667,27.11067,Found
MET 01256,2001,167,159.75,-79.68333,Found
RKPA78004,1978,166.9,159.25,-76.26667,Found
QUE 90254,1990,166.9,162.64559,-84.58227,Found
MET 00615,2000,166.85,155.75,-79.68333,Found
Y-980318,1998,166.81,35.66667,-71.5,Found
A-881013,1988,166.8,26,-72,Found
HrDL 007,2000,166.7,-117.26357,35.04953,Found
Y-75015,1975,166.6,35.66667,-71.5,Found
A-881747,1988,166.55,26,-72,Found
A-881645,1988,166.52,26,-72,Found
Y-792741,1979,166.45,35.66667,-71.5,Found
QUE 99601,1999,166.4,168,-84,Found
JaH 511,2008,166.4,55.15273,19.54188,Found
Wolamo,1964,166.4,39,9,Fell
JaH 316,2001,166.2,55.5543,19.34918,Found
GRV 020039,2002,166.1,75.05472,-73.16306,Found
Acfer 182,1990,166,4.35,27.7,Found
DaG 794,2000,166,16.4505,26.99333,Found
Dho 723,2001,166,54.21833,18.68333,Found
NWA 021,1999,166,-5.58333,29.91667,Found
DaG 832,2000,166,16.14817,27.447,Found
QUE 90256,1990,166,162.20704,-84.60292,Found
Dho 943,2002,166,54.765,19.05167,Found
DaG 342,1997,166,16.1195,27.10483,Found
HaH 026,1990,166,12.85,28.85,Found
Forrest 035,1991,166,128.08333,-30.75,Found
DaG 871,1998,166,16.27783,27.01267,Found
MET 00504,2000,165.9,155.75,-79.68333,Found
Y-790406,1979,165.71,35.66667,-71.5,Found
FRO 90236,1990,165.7,160.44392,-72.95645,Found
Y-74367,1974,165.6,35.72778,-71.79306,Found
Y-793508,1979,165.57,35.66667,-71.5,Found
TIL 91718,1991,165.5,-94.59718,-85.15931,Found
QUE 94200,1994,165.4,168,-84,Found
AH 068,2009,165.4,57.58427,19.14025,Found
Dho 990,2004,165.3,54.83617,19.25317,Found
EET 82607,1982,165.3,157.3225,-76.29417,Found
JaH 588,2009,165.3,56.87883,19.62363,Found
JaH 637,2010,165.3,55.74724,19.68364,Found
RaS 306,2009,165.2,56.03632,20.48983,Found
Y-791977,1979,165.17,35.66667,-71.5,Found
Y-790270,1979,165.08,35.66667,-71.5,Found
Peramiho,1899,165,35.5,-10.66667,Fell
Columbus,1997,165,-107.3945,31.82967,Found
Acfer 281,1991,165,3.88444,27.54222,Found
HaH 094,1995,165,13.45783,28.60083,Found
PCA 91416,1991,165,-68.51262,-85.70188,Found
QUE 99607,1999,164.9,168,-84,Found
LAP 03631,2003,164.9,-70,-86.36667,Found
QUE 93052,1993,164.9,162.5492,-84.5881,Found
EET 96052,1996,164.9,157.16667,-76.18333,Found
LAP 02337,2002,164.8,-70,-86.36667,Found
Dho 817,2001,164.75,54.51398,19.01982,Found
SaU 435,2001,164.6,57.27558,21.09352,Found
PCA 91107,1991,164.6,-68.44175,-85.66261,Found
MET 01019,2001,164.5,159.75,-79.68333,Found
Y-791317,1979,164.42,35.66667,-71.5,Found
QUE 93044,1993,164.4,162.05506,-84.57865,Found
QUE 99033,1999,164.2,168,-84,Found
MET 01028,2001,164.2,159.75,-79.68333,Found
Y-790533,1979,164.14,35.66667,-71.5,Found
A-881244,1988,164.11,26,-72,Found
ALHA78044,1978,164.1,159.66667,-76.71667,Found
EET 96333,1996,164.1,157.16667,-76.18333,Found
Kivesvaara,1968,164,27.56667,64.45,Found
DaG 847,1999,164,16.07983,27.0655,Found
Dho 024,2000,164,54.55333,19.06167,Found
DaG 959,1999,164,16.348,26.96583,Found
El Atchane 002,1991,164,4.05889,29.69889,Found
Onello,1997,164,137.66667,63.16667,Found
ALH 84140,1984,164,156.99656,-77.0238,Found
DaG 444,1998,164,16.15733,27.38833,Found
DaG 052,1995,164,16.25467,27.30317,Found
TIL 91714,1991,163.9,-94.57049,-85.15639,Found
EET 90370,1990,163.9,156.42934,-76.27124,Found
A-882116,1988,163.8,26,-72,Found
EET 83392,1983,163.8,157.17917,-76.32444,Found
GRA 98006,1998,163.7,-141.5,-86.71667,Found
GRV 051525,2006,163.69,75.32167,-72.93278,Found
ALHA81007,1981,163.5,159.24917,-76.68972,Found
JaH 715,2011,163.5,56.72473,19.70205,Found
Y-791047,1979,163.44,35.66667,-71.5,Found
QUE 93046,1993,163.3,162.05423,-84.63054,Found
RaS 273,2008,163.3,56.12353,20.51968,Found
Y-74650,1974,163.2,35.99722,-71.74861,Found
WIS 91626,1991,163.2,-122.96137,-86.50994,Found
QUE 97020,1997,163.2,168,-84,Found
LEW 86211,1986,163.1,161.25171,-84.31177,Found
Acfer 087,1990,163,4.26667,27.7,Found
SaU 159,2001,163,57.32033,21.01717,Found
Dho 004,1999,163,54.05333,18.42833,Found
El MÌ©dano 071,2011,163,-70.53333,-24.85,Found
NWA 036,1999,163,-9.5,27.16667,Found
Dho 1452,2008,163,54.36783,19.01602,Found
Dho 760,2000,163,54.67403,18.94455,Found
Acfer 128,1990,163,4.3,27.5,Found
Acfer 179,1990,163,3.75,27.46667,Found
HaH 062,1994,163,12.34367,28.76467,Found
Y-790992,1979,162.99,35.66667,-71.5,Found
A-87220,1987,162.89,26,-72,Found
GRV 052483,2006,162.84,75.316111,-72.779722,Found
PCA 91317,1991,162.8,-69.06894,-85.67662,Found
LAP 02380,2002,162.78,-70,-86.36667,Found
LAP 02256,2002,162.77,-70,-86.36667,Found
SaU 281,2001,162.56,57.2,21,Found
A-881551,1988,162.48,26,-72,Found
JOH 03013,2003,162.4,161.00194,-72.9,Found
JaH 517,2008,162.3,55.17292,19.50153,Found
Y-74007,1974,162.3,35.66667,-71.5,Found
EET 87635,1987,162.3,156.49151,-76.28142,Found
EET 90466,1990,162.3,156.41554,-76.26842,Found
EET 92046,1992,162.2,156.23008,-76.09729,Found
GRV 052965,2006,162.08,75.30889,-72.77944,Found
Y-790043,1979,162.01,35.66667,-71.5,Found
CyDL 117,1999,162,-116.74443,35.0501,Found
Acfer 129,1990,162,4.2,27.6,Found
Acfer 301,1992,162,3.89806,27.52722,Found
JaH 009,1999,162,56.145,19.26833,Found
EET 87571,1987,162,157.16667,-76.18333,Found
Dho 409,2001,162,54.20318,18.70388,Found
PdM 002,2003,162,-70.44756,-23.21406,Found
DaG 678,2000,162,16.43333,26.75,Found
Dho 848,2001,162,54.28,18.20167,Found
Acfer 072,1990,162,4.25,27.63333,Found
HaH 269,2000,162,12.86767,28.45383,Found
Y-790397,1979,161.99,35.66667,-71.5,Found
A-881127,1988,161.93,26,-72,Found
RaS 323,2009,161.8,55.4247,20.79907,Found
GRV 051618,2006,161.77,75.32806,-72.77778,Found
EET 87778,1987,161.7,157.16667,-76.18333,Found
RaS 302,2009,161.7,56.24085,20.14475,Found
Y-791211,1979,161.67,35.66667,-71.5,Found
JaH 385,2003,161.6,55.89948,19.36147,Found
A-881283,1988,161.56,26,-72,Found
QUE 93076,1993,161.5,162.08099,-84.57709,Found
PCA 91213,1991,161.4,-68.83073,-85.68795,Found
Y-793402,1979,161.39,35.66667,-71.5,Found
Y-791844,1979,161.34,35.66667,-71.5,Found
GRO 95620,1995,161.3,175,-85.66667,Found
QUE 93053,1993,161.2,162.15262,-84.57148,Found
NWA 735,1999,161,-4.11667,30.61667,Found
DaG 454,1998,161,15.855,27.7875,Found
Dho 417,2001,161,54.23132,18.76392,Found
Dho 073,1999,161,54.84733,19.14867,Found
El MÌ©dano 118,2011,161,-70.53333,-24.85,Found
Daraj 018,1986,161,11.84667,29.96667,Found
DaG 607,1998,161,15.9935,27.31283,Found
DaG 605,1998,161,16.28283,27.028,Found
Acfer 355,2002,161,3.781,27.58967,Found
GRV 053340,2006,160.87,75.32833,-72.77722,Found
ALHA78110,1978,160.7,159.66667,-76.71667,Found
BTNA78001,1978,160.7,153.5,-80.25,Found
GRV 022039,2003,160.67,75.31528,-72.77861,Found
MET 01042,2001,160.6,159.75,-79.68333,Found
QUE 93061,1993,160.4,162.05567,-84.57748,Found
JaH 424,2007,160.32,56.35117,19.92282,Found
RKPA80226,1980,160.3,158.59721,-76.25201,Found
Y-791978,1979,160.28,35.66667,-71.5,Found
PAT 91522,1991,160.2,-67.4163,-84.96828,Found
NWA 7176,2010,160.1,-10.33618,26.01043,Found
Dho 835,2001,160.09,54.00393,18.64482,Found
Al Rais,1957,160,39.51667,24.41667,Fell
Dho 199,1999,160,54.16667,18.39333,Found
DaG 645,1998,160,16.45833,26.98167,Found
Dho 063,1999,160,54.87417,19.17867,Found
Dho 389,2001,160,54.79945,19.10847,Found
Acfer 239,1991,160,3.66639,27.48444,Found
Dho 514,2000,160,54.24833,18.8,Found
DaG 634,1998,160,15.99133,27.37083,Found
SaU 037,2000,160,57.289,21.06917,Found
Dho 476,2001,160,54.88528,19.11023,Found
Dho 141,2000,160,54.3535,18.3575,Found
Willcox Playa 009,2009,160,-109.8455,32.07667,Found
MET 00492,2000,159.97,155.75,-79.68333,Found
ALH 84013,1984,159.9,158.59203,-76.8982,Found
Hughes 021,1991,159.9,129.462,-30.668,Found
MAC 88134,1988,159.8,160.5,-84.21667,Found
JaH 299,2005,159.59,56.44852,19.81463,Found
JaH 411,2007,159.4,56.60385,19.67742,Found
Y-793193,1979,159.32,35.66667,-71.5,Found
JaH 569,2009,159.3,56.33962,19.74035,Found
MET 01016,2001,159.3,159.75,-79.68333,Found
JaH 390,2003,159.2,55.75713,19.2743,Found
MET 00487,2000,159.2,155.75,-79.68333,Found
Hughes 040,1993,159.1,129.51667,-30.38333,Found
MET 01215,2001,159.1,159.75,-79.68333,Found
EET 90464,1990,159.1,156.42,-76.2682,Found
MET 00535,2000,159.08,155.75,-79.68333,Found
NWA 464,2001,159,-4.01683,31.36817,Found
DaG 630,1998,159,16.05067,27.0555,Found
TIL 99012,2000,159,-94.58963,-85.15468,Found
Paymaster Mine,2004,159,-114.91783,33.18667,Found
EET 83373,1983,158.9,157.26,-76.31722,Found
Y-791453,1979,158.89,35.66667,-71.5,Found
EET 90372,1990,158.8,156.35727,-76.28667,Found
GRO 95579,1995,158.7,175,-85.66667,Found
TIL 91705,1991,158.5,-94.57786,-85.16455,Found
Menindee Lakes 004,1969,158.5,141.71667,-33.13333,Found
DaG 964,2000,158.1,16.14283,27.0345,Found
DaG 176,1996,158,16.12083,27.12483,Found
SaU 096,2000,158,56.9335,21.10912,Found
Dho 948,2002,158,54.595,19.39833,Found
DaG 761,1999,158,16.38567,26.97083,Found
Dho 471,2001,158,54.83583,19.25557,Found
ALHA81251,1981,158,159.33639,-76.67972,Found
Governador Valadares,1958,158,-41.95,-18.85,Found
Y-82019,1982,157.92,35.66667,-71.5,Found
ALH 84132,1984,157.8,156.96282,-77.01706,Found
EET 83365,1983,157.6,157.26611,-76.31444,Found
MET 00486,2000,157.55,155.75,-79.68333,Found
SaU 482,2007,157.457,56.65542,20.44538,Found
QUE 90233,1990,157.4,162.30082,-84.59412,Found
Y-791217,1979,157.31,35.66667,-71.5,Found
EET 90237,1990,157.2,156.54171,-76.26492,Found
MAC 02838,2002,157.2,160.5,-84.21667,Found
ALH 84139,1984,157.1,158.76289,-76.7528,Found
MET 00558,2000,157.04,155.75,-79.68333,Found
MET 00570,2000,157.02,155.75,-79.68333,Found
Torgau,1561,157,13.05,51.56667,Fell
Tookabarnoo,1992,157,141.73333,-27.86667,Found
Acfer 148,1990,157,4.06667,27.58333,Found
Acfer 152,1990,157,3.75,27.43333,Found
DaG 218,1996,157,16.16483,27.1415,Found
Acfer 321,2001,157,4.06117,27.5455,Found
DaG 407,1998,157,16.268,27.40917,Found
Acfer 167,1990,157,4,27.51667,Found
Acfer 193,1990,157,3.95,27.56667,Found
Pontlyfni,1931,157,-4.31944,53.03639,Fell
Warm Springs Wilderness,2003,156.9,-114.25052,34.78698,Found
MET 00494,2000,156.83,155.75,-79.68333,Found
A-87136,1987,156.82,26,-72,Found
QUE 99603,1999,156.8,168,-84,Found
TIL 91715,1991,156.8,-94.57789,-85.15844,Found
Y-75113,1975,156.8,35.66667,-71.5,Found
A-881812,1988,156.77,26,-72,Found
A-881443,1988,156.74,26,-72,Found
EET 99424,1999,156.6,157.16667,-76.18333,Found
A-881817,1988,156.56,26,-72,Found
RaS 374,2010,156.48,55.83432,20.5002,Found
Y-791771,1979,156.43,35.66667,-71.5,Found
Tnz 059,2002,156.4,0.21667,25.21667,Found
A-881266,1988,156.38,26,-72,Found
PCA 91437,1991,156.2,-68.58767,-85.65111,Found
GRO 95601,1995,156.2,175,-85.66667,Found
EET 96054,1996,156.2,157.16667,-76.18333,Found
Dho 778,2000,156,54.73048,18.72542,Found
ALH 88007,1988,156,158.77571,-76.72606,Found
El Atchane 016,1998,156,4.75,29.36667,Found
DaG 887,2000,156,16.1,27.15,Found
Dho 846,2001,156,54.09333,18.34333,Found
Oktibbeha County,1854,156,-89,33.5,Found
DaG 413,1998,156,16.32517,27.48733,Found
Villa Natamoros,1987,156,-105.4,26.75,Found
Dho 330,2002,156,54.59333,19.38167,Found
El MÌ©dano 017,2010,156,-70.53333,-24.85,Found
NWA 479,2000,156,-4.98333,30.66667,Found
GRV 050127,2006,155.94,75.25833,-72.98361,Found
JaH 204,2002,155.94,56.40808,19.98587,Found
GRV 054322,2006,155.7,75.29667,-72.78194,Found
Dho 1006,2002,155.67,54.00107,18.54293,Found
A-882120,1988,155.59,26,-72,Found
A-881033,1988,155.59,26,-72,Found
PCA 91217,1991,155.4,-68.76222,-85.68497,Found
A-880762,1988,155.3,26,-72,Found
Rancho Blanco,1987,155,-102.18333,24.3,Found
DaG 280,1997,155,16.3185,27.40867,Found
UAE 001,2005,155,55.121208,22.846044,Found
ALHA81115,1981,154.9,159.26114,-76.67455,Found
GRV 98004,1999,154.8,75.42111,-72.83472,Found
A-881808,1988,154.76,26,-72,Found
ALHA78128,1978,154.7,159.66667,-76.71667,Found
EET 96051,1996,154.7,157.16667,-76.18333,Found
ALHA81100,1981,154.6,159.66667,-76.71667,Found
A-87291,1987,154.59,26,-72,Found
SaU 429,2001,154.5,57.26902,21.05525,Found
GRO 95567,1995,154.5,175,-85.66667,Found
RaS 230,2003,154.49,55.92125,20.55575,Found
ALHA77115,1977,154.4,159.66667,-76.71667,Found
A-880744,1988,154.38,26,-72,Found
Y-790999,1979,154.34,35.66667,-71.5,Found
LAP 02220,2002,154.3,-70,-86.36667,Found
A-880641,1988,154.23,26,-72,Found
SaU 513,2009,154.2,56.55335,20.12538,Found
A-881958,1988,154.06,26,-72,Found
EET 90020,1990,154,156.41368,-76.2693,Found
SaU 100,2000,154,57.30552,20.82752,Found
Dho 1313,2004,154,54.455,18.81833,Found
JaH 732,,154,56.22694,19.69611,Found
Dho 620,2001,154,54.65688,19.16667,Found
El MÌ©dano 026,2010,154,-70.53333,-24.85,Found
SaU 538,2011,154,57.04363,21.10707,Found
Dho 287,2001,154,54.14667,18.40333,Found
Dho 1571,2006,154,54.16667,18.45333,Found
QUE 90248,1990,153.9,162.24953,-84.59325,Found
Dho 985,2004,153.9,54.92317,19.22478,Found
A-880776,1988,153.78,26,-72,Found
A-881931,1988,153.62,26,-72,Found
PCA 91366,1991,153.6,-68.96201,-85.69913,Found
ALH 88008,1988,153.5,159.34809,-76.69325,Found
QUE 97043,1997,153.5,168,-84,Found
MET 96513,1996,153.4,159.75,-79.68333,Found
JaH 403,2002,153.278,56.41903,19.97568,Found
MET 00474,2000,153.26,155.75,-79.68333,Found
RKPA80256,1980,153.2,158.81183,-76.21805,Found
GRO 95604,1995,153.2,175,-85.66667,Found
JaH 713,2011,153.1,56.73,19.84552,Found
Y-790738,1979,153.04,35.66667,-71.5,Found
Dho 1681,2011,153,54.49733,19.2701,Found
DaG 085,1995,153,16.37217,27.04617,Found
ALHA81029,1981,153,159.2775,-76.68972,Found
DaG 483,1997,153,16.01517,27.46533,Found
Acfer 175,1990,153,3.85,27.48333,Found
EET 90486,1990,152.9,156.44067,-76.26905,Found
ALHA80132,1980,152.8,159.34417,-76.76111,Found
MET 00529,2000,152.6,159.75,-79.68333,Found
SaU 300,2000,152.6,57.334417,21.006556,Found
EET 87821,1987,152.5,157.16667,-76.18333,Found
A-881997,1988,152.48,26,-72,Found
QUE 90244,1990,152.4,162.25892,-84.59304,Found
A-881209,1988,152.34,26,-72,Found
LEW 85318,1985,152.2,161.08333,-84.28333,Found
EET 84304,1984,152.2,157.18528,-76.31444,Found
GRV 022044,2003,152.14,75.31528,-72.77861,Found
MET 00503,2000,152.12,155.75,-79.68333,Found
ALH 88009,1988,152,159.32884,-76.69227,Found
ALHA81094,1981,152,158.78541,-76.71496,Found
Dho 089,1999,152,54.811,19.22367,Found
Dho 766,2000,152,54.32358,18.2776,Found
HaH 322,2001,152,12.427,29.08933,Found
TIL 07005,2007,152,-94.79183,-85.16583,Found
TIL 82406,1982,152,-94.62367,-85.16548,Found
DaG 643,1998,152,16.405,26.98,Found
Black Rock 001,2003,152,-119.18352,40.86717,Found
A-87234,1987,151.9,26,-72,Found
MET 01013,2001,151.8,159.75,-79.68333,Found
MET 00430,2000,151.7,159.75,-79.68333,Found
EET 83377,1983,151.7,157.21167,-76.2875,Found
ALHA78153,1978,151.7,159.66667,-76.71667,Found
ALHA81099,1981,151.6,158.80715,-76.73169,Found
MET 01035,2001,151.6,159.75,-79.68333,Found
A-882084,1988,151.56,26,-72,Found
MAC 88132,1988,151.5,160.5,-84.21667,Found
Y-790117,1979,151.37,35.66667,-71.5,Found
Dho 793,2001,151.13,54.55647,19.04183,Found
Tnz 056,2002,151.1,0.15,25.48333,Found
DaG 263,1997,151,16.31483,27.1885,Found
El MÌ©dano 004,2010,151,-70.53333,-24.85,Found
SJ 020,2008,151,-69.876167,-25.4415,Found
SJ 028,2008,151,-69.871167,-25.441167,Found
Dho 382,2001,151,54.81733,19.10633,Found
DaG 163,1996,151,16.5085,27.02683,Found
Daraj 131,1986,151,11.90722,29.30444,Found
Y-74662,1974,150.9,36.18611,-71.80583,Found
Shiï¿½ï¿½r 137,2007,150.9,53.99733,18.25432,Found
A-87326,1987,150.84,26,-72,Found
EET 90458,1990,150.8,156.44976,-76.29054,Found
Y-792862,1979,150.76,35.66667,-71.5,Found
ALH 84167,1984,150.7,159.35472,-76.69004,Found
QUE 90250,1990,150.7,162.37287,-84.59642,Found
QUE 90249,1990,150.7,162.20923,-84.60108,Found
MIL 99314,1999,150.7,157,-83.25,Found
Hughes 034,1993,150.6,129.53333,-30.28333,Found
EET 90076,1990,150.5,156.4753,-76.27776,Found
QUE 97753,1997,150.4,168,-84,Found
ALH 84099,1984,150.3,156.99721,-76.87679,Found
WIS 91619,1991,150.3,-124.29386,-86.15351,Found
ALHA81112,1981,150.3,159.26531,-76.68121,Found
FRO 01172,2001,150.2,160.33833,-72.97222,Found
EET 90238,1990,150.1,156.53813,-76.26667,Found
WIS 91628,1991,150.1,-122.9522,-86.51027,Found
JaH 266,2005,150.1,56.41967,19.97362,Found
AH 066,2007,150.057,57.1292,19.51053,Found
Y-693,1969,150,35.66667,-71.5,Found
Udall Park,1985,150,-110.83333,32.25,Found
Seldebourak,1947,150,4.98333,22.83333,Fell
Oldfield River,1972,150,121,-33,Found
Hueco Tanks (b),1985,150,-106.15,31.91667,Found
Deakin 009,1991,150,128.91667,-30.73333,Found
LEW 87055,1987,150,162.03964,-84.38052,Found
EET 90502,1990,150,156.53713,-76.26782,Found
HaH 114,1995,150,13.4645,28.59367,Found
JaH 019,2000,150,55.18833,19.56167,Found
Molteno,1953,150,26.46667,-31.25,Fell
Tabarz,1854,150,10.51667,50.88333,Found
NWA 730,1998,150,-5.75,30.33333,Found
DaG 616,1998,150,16.296,27.16267,Found
DaG 420,1998,150,15.87333,27.86433,Found
Sleeper Camp 026,2005,150,126.43444,-30.17361,Found
Qaï¿½ï¿½r Tarcine,2010,150,9.86638,33.24333,Found
Dho 011,1999,150,54.19833,18.345,Found
Malaga,1933,150,-104,32.21667,Fell
NWA 6759,2000,150,-12.75,25.5,Found
RaS 413,2010,149.98,56.1962,20.33115,Found
A-882041,1988,149.88,26,-72,Found
A-881436,1988,149.86,26,-72,Found
ALH 84016,1984,149.7,158.58777,-76.88429,Found
A-881917,1988,149.57,26,-72,Found
EET 82601,1982,149.5,157.26528,-76.30167,Found
